ts,dynamic_count,service_position_count,abs_diff,hit
1776985257,0,0,0,0
1776985265,0,0,0,0
1776985273,0,0,0,0
1776985281,0,0,0,0
1776985290,1,0,1,0
1776985299,0,0,0,0
1776985307,3,0,3,0
1776985315,0,0,0,0
1776985323,1,0,1,0
1776985332,1,0,1,0
1776985340,1,0,1,0
1776985349,0,0,0,0
1776985357,0,0,0,0
1776985365,0,0,0,0
1776985373,1,0,1,0
1776985381,0,0,0,0
1776985390,1,0,1,0
1776985399,0,0,0,0
1776985407,0,0,0,0
1776985416,1,0,1,0
1776985424,0,0,0,0
1776985432,0,0,0,0
1776985440,0,0,0,0
1776985448,2,0,2,0
1776985455,0,0,0,0
1776985464,0,0,0,0
1776985473,1,0,1,0
1776985482,0,0,0,0
1776985489,0,0,0,0
1776985496,0,0,0,0
