ts,dynamic_count,service_position_count,abs_diff,hit
1776994218,1,2,1,0
1776994222,1,0,1,0
1776994225,1,0,1,0
1776994228,0,0,0,0
1776994230,0,1,1,0
1776994234,2,0,2,0
1776994240,2,0,2,0
1776994243,1,0,1,0
1776994246,1,0,1,0
1776994249,0,2,2,0
1776994252,1,2,1,0
1776994255,1,2,1,0
1776994259,0,0,0,0
1776994264,0,1,1,0
1776994267,0,4,4,0
1776994271,0,1,1,0
1776994274,0,0,0,0
1776994277,0,0,0,0
1776994281,0,0,0,0
1776994283,0,0,0,0
1776994286,0,2,2,0
1776994292,1,0,1,0
1776994295,0,0,0,0
1776994302,0,1,1,0
1776994304,0,1,1,0
1776994308,0,0,0,0
1776994310,0,0,0,0
1776994314,0,0,0,0
1776994317,0,0,0,0
1776994320,0,1,1,0
