ts,dynamic_count,service_position_count,abs_diff,hit
1776958022,0,0,0,0
1776958024,0,0,0,0
1776958027,0,0,0,0
1776958030,0,0,0,0
1776958033,0,0,0,0
1776958036,0,0,0,0
1776958038,0,0,0,0
1776958041,0,0,0,0
1776958043,0,0,0,0
1776958046,0,0,0,0
1776958049,0,0,0,0
1776958051,0,0,0,0
1776958054,0,0,0,0
1776958056,0,0,0,0
1776958059,0,0,0,0
1776958062,0,0,0,0
1776958064,0,0,0,0
1776958067,0,0,0,0
1776958069,0,0,0,0
1776958072,0,0,0,0
1776958075,0,0,0,0
1776958077,0,0,0,0
1776958080,0,0,0,0
1776958083,0,0,0,0
1776958085,0,0,0,0
1776958088,0,0,0,0
1776958090,0,0,0,0
1776958093,0,0,0,0
1776958095,0,0,0,0
1776958098,0,0,0,0
