ts,dynamic_count,service_position_count,abs_diff,hit
1776983663,1,3,2,0
1776983667,1,1,0,1
1776983674,3,1,2,0
1776983679,0,0,0,0
1776983686,0,0,0,0
1776983692,0,0,0,0
1776983698,0,1,1,0
1776983704,1,0,1,0
1776983710,0,1,1,0
1776983717,1,1,0,1
1776983720,1,0,1,0
1776983726,0,0,0,0
1776983732,1,0,1,0
1776983739,1,0,1,0
1776983744,0,0,0,0
1776983750,0,0,0,0
1776983756,1,0,1,0
1776983763,1,0,1,0
1776983769,0,0,0,0
1776983772,0,2,2,0
1776983778,0,1,1,0
1776983784,1,1,0,1
1776983790,1,0,1,0
1776983797,0,0,0,0
1776983803,0,1,1,0
1776983806,0,1,1,0
1776983813,0,0,0,0
1776983818,0,0,0,0
1776983824,0,0,0,0
1776983827,0,0,0,0
