ts,dynamic_count,service_position_count,abs_diff,hit
1776996552,1,0,1,0
1776996560,1,0,1,0
1776996569,0,0,0,0
1776996577,0,0,0,0
1776996585,0,0,0,0
1776996594,0,0,0,0
1776996602,0,0,0,0
1776996610,0,0,0,0
1776996619,0,0,0,0
1776996628,1,0,1,0
1776996635,1,0,1,0
1776996643,1,0,1,0
1776996651,1,0,1,0
1776996659,1,0,1,0
1776996668,0,0,0,0
1776996676,0,0,0,0
1776996684,1,0,1,0
1776996692,0,0,0,0
1776996702,0,0,0,0
1776996710,0,0,0,0
1776996718,0,0,0,0
1776996726,0,0,0,0
1776996734,0,0,0,0
1776996743,1,0,1,0
1776996751,1,0,1,0
1776996759,0,0,0,0
1776996767,1,0,1,0
1776996776,0,0,0,0
1776996784,1,0,1,0
1776996792,0,0,0,0
