ts,dynamic_count,service_position_count,abs_diff,hit
1777427970,0,0,0,0
1777427982,0,0,0,0
1777427994,0,0,0,0
1777428006,0,0,0,0
1777428019,0,0,0,0
1777428031,0,0,0,0
1777428044,0,0,0,0
1777428056,0,0,0,0
1777428070,0,0,0,0
1777428083,0,0,0,0
1777428096,0,0,0,0
1777428108,0,0,0,0
1777428122,0,0,0,0
1777428135,0,0,0,0
1777428148,0,0,0,0
1777428158,0,0,0,0
1777428170,0,0,0,0
1777428183,0,0,0,0
1777428196,0,0,0,0
1777428209,0,0,0,0
1777428221,0,0,0,0
1777428234,0,0,0,0
1777428246,0,0,0,0
1777428258,0,0,0,0
1777428272,0,0,0,0
1777428285,0,0,0,0
1777428297,0,0,0,0
1777428310,0,0,0,0
1777428322,0,0,0,0
1777428335,0,0,0,0
