ts,dynamic_count,service_position_count,abs_diff,hit
1776993613,0,0,0,0
1776993620,0,0,0,0
1776993627,0,0,0,0
1776993634,0,0,0,0
1776993640,0,0,0,0
1776993647,0,0,0,0
1776993653,0,0,0,0
1776993661,0,0,0,0
1776993667,0,0,0,0
1776993674,0,0,0,0
1776993680,0,0,0,0
1776993687,0,0,0,0
1776993694,0,0,0,0
1776993701,0,0,0,0
1776993708,0,0,0,0
1776993714,0,0,0,0
1776993721,0,0,0,0
1776993728,0,0,0,0
1776993735,0,0,0,0
1776993741,0,0,0,0
1776993748,0,0,0,0
1776993754,0,0,0,0
1776993762,0,0,0,0
1776993768,0,0,0,0
1776993774,0,0,0,0
1776993781,0,0,0,0
1776993788,0,0,0,0
1776993795,0,0,0,0
1776993802,0,0,0,0
1776993808,0,0,0,0
