ts,dynamic_count,service_position_count,abs_diff,hit
1777001158,0,0,0,0
1777001166,0,0,0,0
1777001173,0,0,0,0
1777001181,1,0,1,0
1777001189,0,0,0,0
1777001196,0,0,0,0
1777001204,1,0,1,0
1777001212,1,0,1,0
1777001220,1,0,1,0
1777001227,1,0,1,0
1777001235,1,0,1,0
1777001242,1,0,1,0
1777001250,0,0,0,0
1777001257,0,0,0,0
1777001265,0,0,0,0
1777001272,2,0,2,0
1777001280,0,0,0,0
1777001288,0,0,0,0
1777001296,0,0,0,0
1777001304,1,0,1,0
1777001312,1,0,1,0
1777001319,1,0,1,0
1777001327,0,0,0,0
1777001335,0,0,0,0
1777001343,1,0,1,0
1777001350,1,0,1,0
1777001358,1,0,1,0
1777001365,1,0,1,0
1777001373,1,0,1,0
1777001381,1,0,1,0
