ts,dynamic_count,service_position_count,abs_diff,hit
1777340018,1,1,0,1
1777340027,1,0,1,0
1777340038,1,0,1,0
1777340048,2,0,2,0
1777340059,2,0,2,0
1777340069,2,0,2,0
1777340080,2,0,2,0
1777340090,2,0,2,0
1777340100,1,0,1,0
1777340111,1,0,1,0
1777340122,2,3,1,0
1777340132,3,0,3,0
1777340143,3,0,3,0
1777340154,3,0,3,0
1777340165,1,0,1,0
1777340175,1,0,1,0
1777340186,1,0,1,0
1777340197,2,0,2,0
1777340208,1,0,1,0
1777340218,1,2,1,0
1777340229,1,0,1,0
1777340239,1,0,1,0
1777340251,1,0,1,0
1777340261,1,1,0,1
1777340271,1,0,1,0
1777340282,1,1,0,1
1777340291,1,0,1,0
1777340302,1,1,0,1
1777340312,1,0,1,0
1777340323,1,1,0,1
