ts,dynamic_count,service_position_count,abs_diff,hit
1776960534,0,4,4,0
1776960537,2,2,0,1
1776960541,0,1,1,0
1776960544,0,0,0,0
1776960547,0,1,1,0
1776960550,0,4,4,0
1776960553,2,3,1,0
1776960556,2,0,2,0
1776960560,0,0,0,0
1776960563,0,1,1,0
1776960568,0,5,5,0
1776960571,2,4,2,0
1776960574,2,0,2,0
1776960578,0,0,0,0
1776960581,0,0,0,0
1776960584,0,2,2,0
1776960587,0,3,3,0
1776960591,1,0,1,0
1776960596,1,0,1,0
1776960599,1,0,1,0
1776960602,0,3,3,0
1776960605,0,2,2,0
1776960608,2,0,2,0
1776960615,0,0,0,0
1776960618,0,0,0,0
1776960621,0,1,1,0
1776960624,0,0,0,0
1776960627,0,3,3,0
1776960630,0,1,1,0
1776960633,2,1,1,0
