ts,dynamic_count,service_position_count,abs_diff,hit
1777000682,0,0,0,0
1777000689,0,0,0,0
1777000696,0,0,0,0
1777000702,1,0,1,0
1777000710,0,0,0,0
1777000717,0,0,0,0
1777000724,0,0,0,0
1777000736,0,0,0,0
1777000743,0,0,0,0
1777000750,0,0,0,0
1777000757,1,0,1,0
1777000764,1,0,1,0
1777000771,0,0,0,0
1777000778,2,0,2,0
1777000786,2,0,2,0
1777000793,0,0,0,0
1777000800,0,0,0,0
1777000807,0,0,0,0
1777000814,0,0,0,0
1777000821,1,0,1,0
1777000831,0,0,0,0
1777000838,1,0,1,0
1777000845,1,0,1,0
1777000852,1,0,1,0
1777000859,0,0,0,0
1777000866,0,0,0,0
1777000873,1,0,1,0
1777000880,1,0,1,0
1777000887,1,0,1,0
1777000894,0,0,0,0
