ts,dynamic_count,service_position_count,abs_diff,hit
1776995614,0,0,0,0
1776995621,0,0,0,0
1776995628,0,0,0,0
1776995634,0,0,0,0
1776995642,0,0,0,0
1776995648,0,0,0,0
1776995655,0,0,0,0
1776995662,0,0,0,0
1776995670,0,1,1,0
1776995676,1,0,1,0
1776995683,1,0,1,0
1776995690,0,0,0,0
1776995696,0,0,0,0
1776995704,0,0,0,0
1776995709,0,0,0,0
1776995716,0,0,0,0
1776995721,0,1,1,0
1776995728,0,0,0,0
1776995733,0,0,0,0
1776995741,0,0,0,0
1776995746,0,0,0,0
1776995753,0,0,0,0
1776995760,0,0,0,0
1776995766,1,0,1,0
1776995774,1,0,1,0
1776995780,0,0,0,0
1776995787,0,0,0,0
1776995794,1,0,1,0
1776995802,1,0,1,0
1776995809,1,0,1,0
