ts,dynamic_count,service_position_count,abs_diff,hit
1776999911,0,0,0,0
1776999918,0,0,0,0
1776999924,3,0,3,0
1776999930,0,0,0,0
1776999937,3,0,3,0
1776999943,1,1,0,1
1776999948,1,0,1,0
1776999955,2,0,2,0
1776999961,5,0,5,0
1776999968,1,0,1,0
1776999974,0,0,0,0
1776999981,2,0,2,0
1776999986,0,0,0,0
1776999993,0,2,2,0
1776999999,0,0,0,0
1777000005,0,0,0,0
1777000012,0,0,0,0
1777000018,0,0,0,0
1777000024,1,0,1,0
1777000031,0,0,0,0
1777000037,0,0,0,0
1777000044,0,0,0,0
1777000050,0,0,0,0
1777000057,1,0,1,0
1777000063,0,0,0,0
1777000069,0,0,0,0
1777000076,0,0,0,0
1777000082,0,0,0,0
1777000089,2,0,2,0
1777000095,2,0,2,0
