ts,dynamic_count,service_position_count,abs_diff,hit
1777427233,0,0,0,0
1777427244,0,0,0,0
1777427256,0,0,0,0
1777427268,0,0,0,0
1777427281,0,0,0,0
1777427293,0,0,0,0
1777427301,0,0,0,0
1777427314,0,0,0,0
1777427327,0,0,0,0
1777427340,0,0,0,0
1777427352,0,0,0,0
1777427364,0,0,0,0
1777427377,0,0,0,0
1777427389,0,0,0,0
1777427401,0,0,0,0
1777427414,0,0,0,0
1777427425,0,0,0,0
1777427437,0,0,0,0
1777427449,0,0,0,0
1777427461,0,0,0,0
1777427473,0,0,0,0
1777427486,0,0,0,0
1777427498,0,0,0,0
1777427507,0,0,0,0
1777427520,0,0,0,0
1777427530,0,0,0,0
1777427543,0,0,0,0
1777427555,0,0,0,0
1777427568,0,0,0,0
1777427580,0,0,0,0
