ts,dynamic_count,service_position_count,abs_diff,hit
1776959303,0,2,2,0
1776959308,0,0,0,0
1776959313,0,0,0,0
1776959317,0,1,1,0
1776959323,0,0,0,0
1776959326,0,0,0,0
1776959329,1,0,1,0
1776959332,0,1,1,0
1776959335,0,1,1,0
1776959339,0,0,0,0
1776959344,0,0,0,0
1776959347,0,0,0,0
1776959351,0,0,0,0
1776959355,0,3,3,0
1776959358,3,1,2,0
1776959362,3,1,2,0
1776959365,1,0,1,0
1776959369,1,0,1,0
1776959372,0,0,0,0
1776959375,0,1,1,0
1776959378,0,0,0,0
1776959381,0,0,0,0
1776959385,0,0,0,0
1776959388,0,0,0,0
1776959391,0,2,2,0
1776959393,0,2,2,0
1776959396,1,1,0,1
1776959400,0,0,0,0
1776959403,0,0,0,0
1776959409,0,0,0,0
