ts,dynamic_count,service_position_count,abs_diff,hit
1777000292,0,0,0,0
1777000299,0,0,0,0
1777000304,0,0,0,0
1777000310,0,0,0,0
1777000317,2,1,1,0
1777000321,0,0,0,0
1777000328,1,0,1,0
1777000335,0,0,0,0
1777000342,0,0,0,0
1777000346,0,0,0,0
1777000352,2,0,2,0
1777000359,2,0,2,0
1777000364,0,0,0,0
1777000370,0,0,0,0
1777000376,0,0,0,0
1777000383,0,0,0,0
1777000390,0,0,0,0
1777000397,0,0,0,0
1777000403,1,0,1,0
1777000410,1,0,1,0
1777000417,1,0,1,0
1777000424,0,0,0,0
1777000431,2,0,2,0
1777000437,0,2,2,0
1777000443,0,1,1,0
1777000448,1,0,1,0
1777000454,3,1,2,0
1777000459,1,0,1,0
1777000466,0,0,0,0
1777000472,0,0,0,0
