ts,dynamic_count,service_position_count,abs_diff,hit
1776984562,1,0,1,0
1776984569,0,2,2,0
1776984575,2,0,2,0
1776984581,0,0,0,0
1776984588,1,0,1,0
1776984597,0,0,0,0
1776984605,3,0,3,0
1776984612,0,0,0,0
1776984620,1,0,1,0
1776984626,0,1,1,0
1776984634,1,1,0,1
1776984639,1,0,1,0
1776984647,0,0,0,0
1776984654,0,1,1,0
1776984661,1,0,1,0
1776984669,0,0,0,0
1776984676,0,0,0,0
1776984684,0,0,0,0
1776984690,0,0,0,0
1776984698,0,0,0,0
1776984706,0,0,0,0
1776984713,0,0,0,0
1776984721,0,0,0,0
1776984729,0,0,0,0
1776984737,0,1,1,0
1776984744,1,0,1,0
1776984750,0,1,1,0
1776984756,1,0,1,0
1776984765,0,0,0,0
1776984772,0,0,0,0
