ts,dynamic_count,service_position_count,abs_diff,hit
1776960117,0,2,2,0
1776960121,1,1,0,1
1776960124,0,0,0,0
1776960130,0,1,1,0
1776960134,0,2,2,0
1776960137,0,2,2,0
1776960140,2,0,2,0
1776960146,0,0,0,0
1776960152,0,4,4,0
1776960158,0,0,0,0
1776960162,0,0,0,0
1776960165,0,2,2,0
1776960169,1,3,2,0
1776960173,1,2,1,0
1776960176,0,0,0,0
1776960182,1,0,1,0
1776960185,1,1,0,1
1776960189,1,2,1,0
1776960194,1,0,1,0
1776960200,0,0,0,0
1776960203,0,1,1,0
1776960206,0,1,1,0
1776960209,1,0,1,0
1776960212,1,0,1,0
1776960218,1,1,0,1
1776960224,0,1,1,0
1776960231,1,0,1,0
1776960235,0,0,0,0
1776960240,0,0,0,0
1776960242,0,3,3,0
