ts,dynamic_count,service_position_count,abs_diff,hit
1776996037,1,0,1,0
1776996045,0,0,0,0
1776996052,0,0,0,0
1776996059,0,0,0,0
1776996068,0,0,0,0
1776996075,2,0,2,0
1776996083,2,0,2,0
1776996090,2,0,2,0
1776996097,0,0,0,0
1776996106,0,0,0,0
1776996113,0,0,0,0
1776996120,0,0,0,0
1776996127,1,0,1,0
1776996135,0,0,0,0
1776996143,0,0,0,0
1776996150,0,0,0,0
1776996162,0,0,0,0
1776996170,1,0,1,0
1776996177,0,0,0,0
1776996184,0,0,0,0
1776996192,0,0,0,0
1776996200,0,0,0,0
1776996207,1,0,1,0
1776996215,2,0,2,0
1776996222,2,0,2,0
1776996230,0,0,0,0
1776996238,1,0,1,0
1776996245,3,0,3,0
1776996252,0,0,0,0
1776996260,0,0,0,0
