ts,dynamic_count,service_position_count,abs_diff,hit
1776998610,0,0,0,0
1776998617,2,0,2,0
1776998623,1,0,1,0
1776998629,1,0,1,0
1776998636,1,0,1,0
1776998642,0,0,0,0
1776998649,4,0,4,0
1776998654,0,0,0,0
1776998660,0,2,2,0
1776998666,2,0,2,0
1776998672,0,0,0,0
1776998678,0,0,0,0
1776998685,2,0,2,0
1776998691,0,0,0,0
1776998698,0,0,0,0
1776998704,2,0,2,0
1776998710,1,1,0,1
1776998716,0,0,0,0
1776998723,0,0,0,0
1776998729,0,0,0,0
1776998735,0,1,1,0
1776998741,2,0,2,0
1776998747,0,1,1,0
1776998753,1,0,1,0
1776998759,2,0,2,0
1776998765,0,0,0,0
1776998771,1,0,1,0
1776998778,3,0,3,0
1776998784,0,0,0,0
1776998791,3,0,3,0
