ts,dynamic_count,service_position_count,abs_diff,hit
1777339091,1,0,1,0
1777339102,4,0,4,0
1777339111,4,0,4,0
1777339120,2,0,2,0
1777339130,2,0,2,0
1777339140,2,2,0,1
1777339148,2,1,1,0
1777339157,1,1,0,1
1777339166,1,1,0,1
1777339173,1,0,1,0
1777339183,2,0,2,0
1777339192,2,0,2,0
1777339201,1,0,1,0
1777339212,1,1,0,1
1777339220,1,1,0,1
1777339229,1,1,0,1
1777339238,1,0,1,0
1777339247,2,2,0,1
1777339255,2,0,2,0
1777339267,2,0,2,0
1777339276,1,0,1,0
1777339285,1,0,1,0
1777339294,1,0,1,0
1777339303,2,1,1,0
1777339310,1,0,1,0
1777339320,1,0,1,0
1777339330,2,0,2,0
1777339339,1,0,1,0
1777339348,1,0,1,0
1777339357,1,0,1,0
