ts,dynamic_count,service_position_count,abs_diff,hit
1776959715,1,3,2,0
1776959717,1,0,1,0
1776959722,1,0,1,0
1776959728,0,0,0,0
1776959733,0,0,0,0
1776959739,0,0,0,0
1776959746,0,3,3,0
1776959752,1,1,0,1
1776959755,1,1,0,1
1776959758,1,0,1,0
1776959761,1,0,1,0
1776959764,0,0,0,0
1776959771,2,0,2,0
1776959777,1,0,1,0
1776959780,0,0,0,0
1776959784,0,0,0,0
1776959787,0,0,0,0
1776959790,0,1,1,0
1776959795,1,0,1,0
1776959798,0,0,0,0
1776959804,1,1,0,1
1776959808,1,0,1,0
1776959812,2,0,2,0
1776959817,0,0,0,0
1776959822,0,1,1,0
1776959826,0,0,0,0
1776959829,2,2,0,1
1776959832,2,0,2,0
1776959838,1,2,1,0
1776959844,0,1,1,0
