ts,dynamic_count,service_position_count,abs_diff,hit
1776995171,0,0,0,0
1776995177,2,0,2,0
1776995183,0,0,0,0
1776995191,2,0,2,0
1776995197,1,0,1,0
1776995204,0,0,0,0
1776995210,0,0,0,0
1776995217,2,0,2,0
1776995224,2,0,2,0
1776995231,0,0,0,0
1776995237,1,0,1,0
1776995244,1,0,1,0
1776995250,2,0,2,0
1776995260,1,0,1,0
1776995266,0,0,0,0
1776995273,0,0,0,0
1776995279,0,0,0,0
1776995286,0,0,0,0
1776995293,1,0,1,0
1776995300,0,0,0,0
1776995306,0,0,0,0
1776995313,0,0,0,0
1776995319,2,0,2,0
1776995327,0,0,0,0
1776995334,0,0,0,0
1776995344,2,0,2,0
1776995349,0,0,0,0
1776995357,0,0,0,0
1776995364,3,0,3,0
1776995370,0,0,0,0
