ts,dynamic_count,service_position_count,abs_diff,hit
1776998978,0,0,0,0
1776998985,0,0,0,0
1776998991,1,0,1,0
1776998998,0,0,0,0
1776999004,3,0,3,0
1776999011,2,0,2,0
1776999018,0,0,0,0
1776999024,0,1,1,0
1776999030,1,0,1,0
1776999036,1,1,0,1
1776999042,1,0,1,0
1776999049,0,0,0,0
1776999054,1,1,0,1
1776999060,0,0,0,0
1776999069,0,0,0,0
1776999073,0,1,1,0
1776999078,0,0,0,0
1776999083,0,0,0,0
1776999090,1,0,1,0
1776999097,0,0,0,0
1776999101,0,0,0,0
1776999108,0,1,1,0
1776999114,1,0,1,0
1776999120,1,0,1,0
1776999126,0,1,1,0
1776999132,0,0,0,0
1776999138,1,0,1,0
1776999144,1,0,1,0
1776999151,2,0,2,0
1776999157,0,0,0,0
