ts,dynamic_count,service_position_count,abs_diff,hit
1776958524,0,0,0,0
1776958527,5,0,5,0
1776958529,5,0,5,0
1776958531,1,0,1,0
1776958534,1,0,1,0
1776958536,1,0,1,0
1776958539,0,0,0,0
1776958541,0,0,0,0
1776958544,2,0,2,0
1776958546,2,0,2,0
1776958549,2,0,2,0
1776958551,1,0,1,0
1776958554,1,0,1,0
1776958556,0,0,0,0
1776958559,0,0,0,0
1776958561,0,0,0,0
1776958564,0,0,0,0
1776958566,0,0,0,0
1776958569,0,0,0,0
1776958571,0,0,0,0
1776958574,0,0,0,0
1776958576,0,0,0,0
1776958579,1,0,1,0
1776958582,1,0,1,0
1776958584,1,0,1,0
1776958587,0,0,0,0
1776958589,0,0,0,0
1776958592,0,0,0,0
1776958594,0,0,0,0
1776958597,0,0,0,0
