ts,dynamic_count,service_position_count,abs_diff,hit
1777341269,2,0,2,0
1777341280,2,0,2,0
1777341291,1,0,1,0
1777341302,1,0,1,0
1777341314,1,0,1,0
1777341326,1,0,1,0
1777341338,1,0,1,0
1777341350,1,0,1,0
1777341361,1,0,1,0
1777341373,1,0,1,0
1777341384,1,0,1,0
1777341395,1,0,1,0
1777341406,1,0,1,0
1777341418,1,0,1,0
1777341429,2,0,2,0
1777341440,2,0,2,0
1777341451,3,0,3,0
1777341462,1,0,1,0
1777341474,2,0,2,0
1777341485,2,0,2,0
1777341496,2,0,2,0
1777341507,3,0,3,0
1777341518,2,0,2,0
1777341530,2,0,2,0
1777341541,1,0,1,0
1777341551,2,0,2,0
1777341562,1,0,1,0
1777341573,1,0,1,0
1777341584,2,0,2,0
1777341596,1,0,1,0
