ts,dynamic_count,service_position_count,abs_diff,hit
1776984032,1,0,1,0
1776984039,0,0,0,0
1776984044,0,1,1,0
1776984049,0,0,0,0
1776984053,0,0,0,0
1776984060,0,0,0,0
1776984067,0,2,2,0
1776984073,0,2,2,0
1776984079,0,1,1,0
1776984085,0,1,1,0
1776984091,1,0,1,0
1776984097,0,0,0,0
1776984104,0,3,3,0
1776984110,1,0,1,0
1776984115,2,2,0,1
1776984121,2,0,2,0
1776984128,2,0,2,0
1776984134,1,0,1,0
1776984140,1,1,0,1
1776984145,1,0,1,0
1776984152,0,0,0,0
1776984159,0,2,2,0
1776984165,0,2,2,0
1776984172,1,0,1,0
1776984177,1,1,0,1
1776984183,1,0,1,0
1776984189,0,0,0,0
1776984196,0,0,0,0
1776984202,1,1,0,1
1776984208,0,1,1,0
