ts,dynamic_count,service_position_count,abs_diff,hit
1777428726,0,0,0,0
1777428740,0,0,0,0
1777428752,0,0,0,0
1777428765,0,0,0,0
1777428778,0,0,0,0
1777428790,0,0,0,0
1777428804,0,0,0,0
1777428816,0,0,0,0
1777428829,0,0,0,0
1777428841,0,0,0,0
1777428854,0,0,0,0
1777428868,0,0,0,0
1777428881,0,0,0,0
1777428894,0,0,0,0
1777428908,0,0,0,0
1777428920,0,0,0,0
1777428934,0,0,0,0
1777428947,0,0,0,0
1777428961,0,0,0,0
1777428974,0,0,0,0
1777428983,0,0,0,0
1777428996,0,0,0,0
1777429012,0,0,0,0
1777429025,0,0,0,0
1777429037,0,0,0,0
1777429049,0,0,0,0
1777429062,0,0,0,0
1777429076,0,0,0,0
1777429088,0,0,0,0
1777429101,0,0,0,0
