ts,dynamic_count,service_position_count,abs_diff,hit
1776999357,0,0,0,0
1776999363,0,0,0,0
1776999371,1,0,1,0
1776999378,2,0,2,0
1776999385,1,0,1,0
1776999392,0,0,0,0
1776999400,0,0,0,0
1776999407,0,0,0,0
1776999414,0,0,0,0
1776999421,3,1,2,0
1776999427,3,0,3,0
1776999435,0,0,0,0
1776999442,0,0,0,0
1776999449,0,0,0,0
1776999456,1,0,1,0
1776999463,0,0,0,0
1776999475,3,0,3,0
1776999482,3,0,3,0
1776999489,0,0,0,0
1776999496,0,0,0,0
1776999503,0,0,0,0
1776999510,1,0,1,0
1776999517,1,0,1,0
1776999524,0,0,0,0
1776999531,0,0,0,0
1776999539,1,0,1,0
1776999546,1,0,1,0
1776999553,0,0,0,0
1776999560,0,0,0,0
1776999567,0,0,0,0
